City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Itaituba,BR,75.45,clear sky,-4.28,-55.98,Hotel Campos
12,Muisne,EC,72.99,overcast clouds,0.6,-80.03,Quinta Samay
14,Nisia Floresta,BR,73.4,few clouds,-6.09,-35.21,Rancho Crepusculo
16,Ribeira Grande,PT,73.08,clear sky,38.52,-28.7,Quinta da Meia Eira
17,Benicarlo,ES,73.45,scattered clouds,40.42,0.43,Hotel & Spa Peñíscola Plaza Suites
24,Sirjan,IR,76.06,scattered clouds,29.45,55.68,هتل عطرسیب سیرجان
25,Bambous Virieux,MU,72.0,shower rain,-20.34,57.76,Casa Tia Villa
30,Grand Gaube,MU,72.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
31,Rikitea,PF,71.26,light rain,-23.12,-134.97,Pension Maro'i
55,Guerrero Negro,MX,75.13,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
64,Mumford,GH,72.27,scattered clouds,5.26,-0.76,Spanish Villa
67,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
70,Marsa Matruh,EG,71.6,clear sky,31.35,27.25,Beau Site
78,Kilindoni,TZ,75.97,broken clouds,-7.91,39.67,Bustani B&B
83,Airai,TL,76.66,clear sky,-8.93,125.41,Juvinal Martin
89,Linxia,CN,71.69,clear sky,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
96,Carnarvon,AU,71.6,clear sky,-24.87,113.63,Hospitality Carnarvon
110,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
116,Kavieng,PG,76.6,light rain,-2.57,150.8,Nusa Island Retreat
123,Kerema,PG,77.88,overcast clouds,-7.96,145.78,Elore Lodge
136,Zaysan,KZ,77.56,broken clouds,47.47,84.87,Gostinitsa Aray
169,Westport,US,75.2,clear sky,41.14,-73.36,The Westport Inn
179,Ughelli,NG,73.54,overcast clouds,5.49,6.01,Prestige Hotel
182,Lorengau,PG,75.85,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
184,Faanui,PF,77.22,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Vao,NC,70.52,broken clouds,-22.67,167.48,Hotel Kou-Bugny
187,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
192,Mitsamiouli,KM,75.9,overcast clouds,-11.38,43.28,Foyer ADM
196,Timberlake,US,75.2,clear sky,37.32,-79.26,Timberlake Motel
201,Nova Olimpia,BR,72.14,clear sky,-14.8,-57.29,Motel glamour
204,Fare,PF,77.99,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
214,Grand-Santi,GF,72.01,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
230,Todos Santos,MX,77.0,clear sky,23.45,-110.22,Hotel California Todos Santos
233,Acarau,BR,76.26,scattered clouds,-2.89,-40.12,castelo pizzaria
242,Olinda,BR,73.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
255,Lagoa,PT,72.77,clear sky,39.05,-27.98,Casa Das Faias
258,Fremont,US,77.0,haze,37.55,-121.99,Best Western Plus Garden Court Inn
261,Mahon,ES,75.2,clear sky,39.89,4.27,ARTIEM Capri
265,Salalah,OM,75.2,mist,17.02,54.09,HAMDAN PLAZA HOTEL
276,Camalu,MX,76.21,clear sky,30.85,-116.07,La Cueva del Pirata
279,Morro Bay,US,75.99,few clouds,35.37,-120.85,Inn at Morro Bay
280,Bathsheba,BB,77.0,light intensity shower rain,13.22,-59.52,Atlantis Hotel
