City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Astoria,US,46.19,-123.83,64.0,72,1,16.11,clear sky
1,Narsaq,GL,60.92,-46.05,42.8,81,8,3.36,clear sky
2,Pokrovsk,UA,48.28,37.18,58.89,54,36,3.42,scattered clouds
3,Grindavik,IS,63.84,-22.43,46.4,93,3,3.36,clear sky
4,Pemangkat,ID,1.17,108.97,84.18,69,85,2.77,overcast clouds
5,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,1.12,overcast clouds
6,Sable-Sur-Sarthe,FR,47.84,-0.33,55.4,93,70,2.66,broken clouds
7,Hasaki,JP,35.73,140.83,89.01,66,40,13.87,scattered clouds
8,Itaituba,BR,-4.28,-55.98,75.45,57,0,1.01,clear sky
9,Matola,MZ,-25.96,32.46,59.0,100,0,8.05,clear sky
10,Albany,US,42.6,-73.97,70.0,91,41,1.97,light rain
11,Itoman,JP,26.12,127.67,80.6,88,75,38.03,shower rain
12,Muisne,EC,0.6,-80.03,72.99,85,100,9.64,overcast clouds
13,Mataura,NZ,-46.19,168.86,57.61,69,50,0.74,light rain
14,Nisia Floresta,BR,-6.09,-35.21,73.4,88,20,6.93,few clouds
15,Gorontalo,ID,0.54,123.06,88.14,55,68,7.38,broken clouds
16,Ribeira Grande,PT,38.52,-28.7,73.08,89,1,13.42,clear sky
17,Benicarlo,ES,40.42,0.43,73.45,52,25,4.94,scattered clouds
18,Hithadhoo,MV,-0.6,73.08,82.29,80,99,13.38,moderate rain
19,Taoudenni,ML,22.68,-3.98,94.86,11,0,3.85,clear sky
20,Thompson,CA,55.74,-97.86,53.6,100,90,6.93,light rain
21,Vaini,TO,-21.2,-175.2,80.6,78,20,11.41,few clouds
22,Wageningen,NL,51.97,5.67,61.0,82,90,9.17,overcast clouds
23,Castro,BR,-24.79,-50.01,48.2,91,53,13.49,broken clouds
24,Sirjan,IR,29.45,55.68,76.06,34,33,1.1,scattered clouds
25,Bambous Virieux,MU,-20.34,57.76,72.0,73,75,13.87,shower rain
26,New Norfolk,AU,-42.78,147.06,48.0,80,94,1.99,light rain
27,Dikson,RU,73.51,80.55,46.13,81,0,12.55,clear sky
28,Lasa,IT,46.62,10.7,53.6,93,5,5.82,clear sky
29,George,ZA,-33.96,22.46,55.4,100,75,9.17,broken clouds
30,Grand Gaube,MU,-20.01,57.66,72.0,71,38,8.01,scattered clouds
31,Rikitea,PF,-23.12,-134.97,71.26,83,12,18.32,light rain
32,Acapulco,MX,16.86,-99.89,79.95,80,58,4.45,moderate rain
33,Lerwick,GB,60.15,-1.15,48.2,87,66,4.7,light rain
34,Kapaa,US,22.08,-159.32,84.2,70,40,10.29,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,32.0,91,40,5.82,scattered clouds
36,Yellowknife,CA,62.46,-114.35,55.4,71,20,3.36,few clouds
37,Port Alfred,ZA,-33.59,26.89,57.47,81,100,10.13,overcast clouds
38,Benjamin Constant,BR,-4.38,-70.03,68.0,100,90,0.18,overcast clouds
39,Lebu,CL,-37.62,-73.65,50.5,91,100,17.87,light rain
40,Warrington,GB,53.39,-2.58,57.99,87,40,11.41,light rain
41,Tuktoyaktuk,CA,69.45,-133.04,64.4,72,75,4.7,broken clouds
42,Kaseda,JP,31.42,130.32,89.6,59,40,9.17,scattered clouds
43,Chokurdakh,RU,70.63,147.92,38.5,75,100,10.2,overcast clouds
44,Bac Lieu,VN,9.29,105.72,87.06,65,61,7.54,broken clouds
45,Nikolskoye,RU,59.7,30.79,59.0,87,84,4.47,broken clouds
46,Victoria,HK,22.29,114.16,91.0,66,0,4.0,clear sky
47,Atuona,PF,-9.8,-139.03,78.13,78,5,17.05,clear sky
48,Korla,CN,41.76,86.15,85.73,23,11,2.48,few clouds
49,Pangnirtung,CA,66.15,-65.71,45.43,79,100,1.99,overcast clouds
50,Sao Filipe,CV,14.9,-24.5,79.11,86,89,15.23,overcast clouds
51,Butaritari,KI,3.07,172.79,83.3,72,99,11.23,overcast clouds
52,Ohara,JP,35.25,140.38,89.01,66,40,13.87,scattered clouds
53,Misratah,LY,32.38,15.09,80.91,75,90,12.88,overcast clouds
54,Kaitangata,NZ,-46.28,169.85,53.01,85,54,11.01,broken clouds
55,Guerrero Negro,MX,27.98,-114.06,75.13,70,0,18.25,clear sky
56,Port Hardy,CA,50.7,-127.42,60.8,72,75,6.93,broken clouds
